pwsid,gw_af,year,name
CA2110003,0,2013,NORTH MARIN WATER DISTRICT
CA4910009,1129.35152,2013,"SANTA ROSA, CITY OF"
CA4910014,1341.10493,2013,"ROHNERT PARK, CITY OF"
CA4910027,212.06631402440001,2013,SONOMA STATE UNIVERSITY
CA4910006,163.59945701,2013,"PETALUMA, CITY OF"
CA4910012,173.42,2013,"SONOMA, CITY OF"
CA4910016,394.971053224,2013,"COTATI, CITY OF"
CA4910011,1153.90264,2013,"SEBASTOPOL, CITY OF"
CA4910013,465.243724,2013,VALLEY OF THE MOON WATER DISTRICT
CA4910023,606.54462627,2013,CALIFORNIA-AMERICAN LARKFIELD (PUC)
CA4901387,0,2013,SONOMA CUTRER
CA4901191,1.5680493455,2013,PARADISE RIDGE WINERY
CA4900561,145.34569929,2013,WILLOWSIDE MUTUAL WATER COMPANY
CA4901193,0.020254674,2013,SCHELLVILLE GRILL
CA4900580,13.281601064688001,2013,SONOMA MOUNTAIN COUNTY WATER DISTRICT
CA4901093,0,2013,MARTINELLI RANCH
CA4901144,8.4394781889,2013,COHN WINERY
CA4900924,0.282030991,2013,FREMONT DINER
CA4901361,0.0811414516,2013,ANABA WINERY
CA4900774,0.3682668,2013,CLOVERLEAF RANCH SUMMER CAMP
CA4901204,7.0123829611,2013,BENZIGER FAMILY WINERY
CA4901298,0.41574866608,2013,LYNMAR WINERY
CA4901083,0.8648807175800001,2013,VINEBURG DELI & GROCERY
CA4901408,0.42176062159,2013,WESTSIDE STORAGE WATER SYSTEM
CA4901273,3.5740599829,2013,"S & W WAREHOUSING, LLC"
CA4900878,4.60245115968,2013,SANTA ROSA GOLF & COUNTRY CLUB
CA4900794,7.72544569038,2013,SUNSET PARK COMMUNITY
CA4901027,0.6103746009900001,2013,CINNABAR THEATER
CA4900588,0,2013,LAWNDALE MUTUAL WATER COMPANY
CA4901274,0.38469763706,2013,NICHOLSON RANCH WINERY
CA4901366,11.762665620970001,2013,LAURA CHENEL'S CHEVRE INC.
CA4900667,52.86590828266,2013,COLLEGE PARK MUTUAL WATER COMPANY
CA4901388,0.9009278995200001,2013,"HEIRS OF MY DREAM WINERY, INC."
CA4900737,20.27941846007,2013,KOA - PETALUMA
CA4901345,2.06378249165,2013,BUCKLEY FAMILY PARTNERSHIP
CA4901297,2.23294891512,2013,PORT SONOMA MARINA
CA4901346,5.4149336494,2013,DELORES LANE WATER SYSTEM
CA4901214,0.70567591105,2013,ADOBE CHRISTIAN CHURCH
CA4901225,0.41644223522,2013,THE RENTAL PLACE
CA4900945,7.342933103,2013,PRESENTATION SCHOOL
CA4901018,7.138545029,2013,GUNDLACH BUNDSCHU WINERY
CA4901120,2.397416868,2013,RAM'S GATE WINERY
CA4901310,3.4064679,2013,JACUZZI WINERY
CA4901278,49.2556845,2013,CLINE CELLARS
CA4901063,0.48770799880000004,2013,CAMPOBELLO
CA4900558,33.4538164455,2013,BELMONT TERRACE MUTUAL WATER COMPANY
CA4901061,0,2013,SONOMA WAREHOUSING
CA4901332,1.5744940145000001,2013,WINE COUNTRY IND PARK - BLDG C
CA4901247,130.46158279000002,2013,CARNEROS WAREHOUSING
CA4901294,0.3810026935,2013,WINE COUNTRY IND PARK-BLDGS A&B
CA4901234,0.01926649142,2013,SONOMA SEVENTH DAY ADVENTIST CHURCH
CA4900909,1.19958613654,2013,CARNEROS DELI
CA4901258,39.67154103,2013,SONOMA LODGE
CA4900559,12.7872667186,2013,FIRCREST MUTUAL WATER COMPANY
CA4900546,9.96468583,2013,HAWKINS WATER CO-CAL WATER SERVICE (PUC)
CA4901328,0.6599341056,2013,COPAIN WINE CELLARS
CA4900721,39.228086425,2013,COLONIAL PARK
CA4900033,0.6464309896,2013,WASHOE HOUSE
CA4901398,3.3500003240000003,2013,HOOK & LADDER VINEYARDS AND WINERY
CA4901139,0.073039582,2013,WILLOWBROOK ALE HOUSE
CA4901094,0,2013,LOMBARDI'S DELI & BBQ
CA4900998,3.1901111550000003,2013,BOISSET - DE LOACH WINERY
CA4901375,0.22096008,2013,BROADWAY MARKET
CA4901324,0.51899226346,2013,FRITSCH INDUSTRIAL PARK
CA4910003,0,2013,PENNGROVE WATER COMPANY (PUC)
CA4910022,61.99281276,2013,CANON MANOR WATER SYSTEM
CA4900545,41.98979894934,2013,"BRANGER MUTUAL WATER COMPANY, INC."
CA4901218,6.03994071791,2013,GROSKOPF WAREHOUSE & LOGISTICS
CA4900787,13.98479056106,2013,PLAZA MOBILE HOME PARK
CA4901269,0.28301303580000003,2013,UNITED RENTALS
CA4900669,7.134693572050001,2013,WENDELL LANE MUTUAL WATER COMPANY
CA4901156,1.66977691122,2013,WILLOWSIDE SCHOOL
CA4900553,12.10471796259,2013,PARK ROYAL MUTUAL WATER COMPANY
CA4901244,7.44715874518,2013,HUMANE SOCIETY OF SONOMA COUNTY
CA4901151,1.8306542628,2013,SCHUG CELLARS
CA4900832,37.33245762312,2013,LEISURE MOBILE HOME PARK
CA4900791,1.18976261965,2013,WESTERN MOBILE HOME PARK
CA4901394,0.5318263614400001,2013,NEVES FAMILY TRUST WATER SYSTEM
CA4900708,3.2808275434,2013,GRAVENSTEIN SCHOOL DISTRICT-GRAVENSTEIN
CA4900817,1.0264823272,2013,CASA DEL MAR
CA4900798,22.6399994414,2013,"MOUNTAIN VIEW MOBILE ESTATES, LLC"
CA4901365,13.50188537511,2013,MICHAEL LUCAS WATER SYSTEM
CA4900799,21.41727694315,2013,EL PORTAL MOBILE ESTATES
CA4901175,0.10565574492,2013,OAK GROVE SCHOOL DISTRICT OFFICE
CA4900904,12.526902091,2013,J VINEYARDS & WINERY
CA4900699,1.53616971618,2013,OLIVET ELEMENTARY SCHOOL
CA4900813,0.047076772600000004,2013,MIDGLEY'S COUNTRY FLEA MARKET
CA4900643,14.60617633937,2013,MOUNT WESKE ESTATES MUTUAL WATER COMPANY
CA4900796,35.6477965954,2013,SANTA ROSA MOBILE ESTATES
CA4900695,0,2013,NORTHWEST PREP
CA4901170,0.13952094607,2013,MICHAEL ELLIS SCHOOL FOR DOG TRAINERS
CA4900694,2.78668715116,2013,WRIGHT ELEMENTARY SCHOOL
CA4901250,7.7031348600800005,2013,SONOMA WEST HOLDINGS INDUSTRIAL PARK
CA4900688,14.64702326527,2013,JOURNEY'S END MOBILE HOME PARK
CA4900788,10.09585939527,2013,EL CRYSTAL MOBILE HOME PARK
CA4901311,5.38709574821,2013,MARK WEST NEIGHBORHOOD CHURCH
CA4900560,13.306762280020001,2013,KELLY MUTUAL WATER COMPANY
CA4901312,13.92969171,2013,BALLETTO VINEYARDS
CA4901336,0,2013,MERRIAM WINERY
CA4900986,1.43521244185,2013,BARTHOLOMEW FOUNDATION
CA4900934,0.66288024,2013,SONOMA WINE SHOP
CA4901195,0.53717236782,2013,MOORLAND AVENUE APARTMENTS
CA4900512,51.18078385255,2013,HAPPY ACRES MUTUAL BENEFIT WATER SYSTEM
CA4900513,10.029132520000001,2013,MADRONE MUTUAL WATER COMPANY
CA4900675,17.66759973,2013,ROSELAND MOBILE HOME PARK
CA4900949,0.137486272,2013,SAINTS PETER & PAUL RUSSIAN CHURCH
CA4900533,4.30981101595,2013,MORTON'S WARM SPRINGS / SONOMA SPRINGS
CA4900901,42.11191315133,2013,SOBRE VISTA WATER COMPANY
CA4900723,34.4943236,2013,SHAMROCK MOBILE HOME PARK
CA4900548,57.35755410000001,2013,HOLLAND HEIGHTS MUTUAL WATER COMPANY
CA4900812,0.81939363,2013,FRIEDMAN BROTHERS HARDWARE
CA4900673,10.741115,2013,ATHENA TERRACE MUTUAL WATER COMPANY
CA4900743,1.141933969,2013,LA CANTERA RACQUET CLUB
CA4901069,0.9935224486,2013,SONOMA VALLEY MOOSE LODGE #2048
CA4900792,10.283543501,2013,WAYSIDE GARDENS MOBILE HOME PARK
CA4900797,12.757498485600001,2013,NORTH STAR MOBILE HOME PARK
CA4901232,16.120572281,2013,LA CREMA WINERY
CA4900795,34.393970897,2013,STONEGATE MOBILE HOME PARK
CA4900728,5.676525833,2013,EVERGREEN MOBILE ESTATES
CA4900907,1.1048004,2013,SUMMERFIELD WALDORF SCHOOL
CA4901008,0.9955601915600001,2013,HESSEL CHURCH
CA4901028,5.53663968902,2013,GLORIA FERRER CAVES
CA4901165,0.078256695,2013,JEHOVAH S WITNESSES HALL
CA4900693,16.776087185,2013,BELLEVUE UNION SCH DIST-BELLEVUE SCHOOL
CA4900853,0.81061046682,2013,PACK JACK BAR-B-QUE/WITHERS WATER
CA4901236,11.72572846093,2013,"VINO FARMS, INC. - PRESTON RANCH"
CA4901393,4.828898415,2013,BOISSET - BUENA VISTA WINERY
CA4901254,13.097715631,2013,KJ CARNEROS  HILLS WINERY
CA4900925,66.63709796194,2013,SEBASTIANI VINEYARDS
CA4901262,12.182572633000001,2013,FRANCISCAN VINEYARDS DBA QUARRY WINERY
CA4901390,12.585327618820001,2013,CHALK HILL WINERY
CA4901080,0.3223868945,2013,SPEEDWAY SONOMA LLC
CA4901198,0.0935090783,2013,SONOMA DEVELOPMENTAL CENTER-CAMP VIA
CA4910202,0,2013,SONOMA DEVELOPMENTAL CENTER
CA4910304,0.9964685830000001,2013,CSP-PETALUMA ADOBE STATE HISTORIC PARK
CA4900973,28.4690797963,2013,GEORGE RANCH MUTUAL WATER COMPANY
CA4900871,28.3770130963,2013,DE ANZA MOON VALLEY WATER COMPANY
CA4901407,1.27487521491,2013,SANTA ROSA LIQUOR AND DELI
CA4901321,0.480281285,2013,SUNCE WINERY
CA4901300,0,2013,WINDY HILL WINERY
CA2110003,0,2014,NORTH MARIN WATER DISTRICT
CA4910009,1138.55819,2014,"SANTA ROSA, CITY OF"
CA4901370,57.435626661600004,2014,SUTTER SANTA ROSA REGIONAL HOSPITAL
CA4910006,129.62070693,2014,"PETALUMA, CITY OF"
CA4910023,553.52341374,2014,CALIFORNIA-AMERICAN LARKFIELD (PUC)
CA4910012,154.6,2014,"SONOMA, CITY OF"
CA4910016,117.07201572000001,2014,"COTATI, CITY OF"
CA4910013,526.738,2014,VALLEY OF THE MOON WATER DISTRICT
CA4910027,217.94980579900002,2014,SONOMA STATE UNIVERSITY
CA4910014,1589.6850200000001,2014,"ROHNERT PARK, CITY OF"
CA4910011,1021.019703,2014,"SEBASTOPOL, CITY OF"
CA4901086,1.8149722349000001,2014,KENDALL-JACKSON WINE CENTER
CA4900720,35.284562775,2014,MOBILE HOME ESTATES
CA4900580,17.55711969,2014,SONOMA MOUNTAIN COUNTY WATER DISTRICT
CA4901073,0,2014,GRAY WATER SYSTEM
CA4901080,0.6668513836600001,2014,SPEEDWAY SONOMA LLC
CA4901198,0.2652441627,2014,SONOMA DEVELOPMENTAL CENTER-CAMP VIA
CA4910202,0,2014,SONOMA DEVELOPMENTAL CENTER
CA4910304,0.812028294,2014,CSP-PETALUMA ADOBE STATE HISTORIC PARK
CA4901258,40.0872221805,2014,SONOMA LODGE
CA4901321,0.36196329994000004,2014,SUNCE WINERY
CA4900897,52.649263062,2014,RODNEY STRONG VINEYARDS
CA4901063,0.3012115535,2014,CAMPOBELLO
CA4901300,0.88384032,2014,WINDY HILL WINERY
CA4901234,1.375783387,2014,SONOMA SEVENTH DAY ADVENTIST CHURCH
CA4900558,28.632129922,2014,BELMONT TERRACE MUTUAL WATER COMPANY
CA4901328,4.71294961302,2014,COPAIN WINE CELLARS
CA4900909,1.19060042662,2014,CARNEROS DELI
CA4900559,18.677034373250002,2014,FIRCREST MUTUAL WATER COMPANY
