name,gsa,gw_af
"SEBASTOPOL, CITY OF",Santa Rosa Plain,1005.1491575714286
"SANTA ROSA, CITY OF",Santa Rosa Plain,765.4688485714286
GRAY WATER SYSTEM,Santa Rosa Plain,0.1452812526
"COTATI, CITY OF",Santa Rosa Plain,298.8862993882857
HAPPY ACRES MUTUAL BENEFIT WATER SYSTEM,Santa Rosa Plain,44.09505968140429
NORTHWEST PREP,Santa Rosa Plain,1.461171743947143
WRIGHT ELEMENTARY SCHOOL,Santa Rosa Plain,3.5556996908557146
CALIFORNIA-AMERICAN LARKFIELD (PUC),Santa Rosa Plain,443.76719336714285
"WINDSOR, TOWN OF",Santa Rosa Plain,2952.909632294286
"ROHNERT PARK, CITY OF",Santa Rosa Plain,1728.1789351714287
STRIPE N SEAL,Santa Rosa Plain,0.479334532435
JEHOVAH S WITNESSES HALL,Santa Rosa Plain,0.16872099600714285
SONOMA MOUNTAIN COUNTY WATER DISTRICT,Santa Rosa Plain,18.76799373005543
"COTATI, CITY OF",Petaluma Valley,298.8862993882857
SONOMA STATE UNIVERSITY,Santa Rosa Plain,199.270305572635
"BRANGER MUTUAL WATER COMPANY, INC.",Santa Rosa Plain,33.70870135079857
HOLLAND HEIGHTS MUTUAL WATER COMPANY,Santa Rosa Plain,40.98371071142857
LA CREMA WINERY,Santa Rosa Plain,15.23280071291
MARTINELLI RANCH,Santa Rosa Plain,1.8596105551885715
SONOMA CUTRER,Santa Rosa Plain,5.699367142857143e-4
SARALEE 3575 SLUSSER ROAD,Santa Rosa Plain,2.1664299571475
PARADISE RIDGE WINERY,Santa Rosa Plain,0.937584256125
OLIVET ELEMENTARY SCHOOL,Santa Rosa Plain,1.41731774426
SUNCE WINERY,Santa Rosa Plain,0.34358722503285716
HOOK & LADDER VINEYARDS AND WINERY,Santa Rosa Plain,3.5022611092857145
BOISSET - DE LOACH WINERY,Santa Rosa Plain,3.6583628296128574
KENDALL-JACKSON WINE CENTER,Santa Rosa Plain,2.083723115906667
HUMANE SOCIETY OF SONOMA COUNTY,Santa Rosa Plain,6.473603371745715
HESSEL CHURCH,Santa Rosa Plain,1.2110949124528572
GRAVENSTEIN SCHOOL DISTRICT-GRAVENSTEIN,Santa Rosa Plain,3.587216752742857
BELMONT TERRACE MUTUAL WATER COMPANY,Santa Rosa Plain,28.173330867
BALLETTO VINEYARDS,Santa Rosa Plain,8.117214050000001
PACK JACK BAR-B-QUE/WITHERS WATER,Santa Rosa Plain,0.6585311844571429
SONOMA WINE SHOP,Santa Rosa Plain,0.5883540000014286
WENDELL LANE MUTUAL WATER COMPANY,Santa Rosa Plain,5.464157329761429
COPAIN WINE CELLARS,Santa Rosa Plain,2.8522602750424357
FIRCREST MUTUAL WATER COMPANY,Santa Rosa Plain,17.538281966354287
RODNEY STRONG VINEYARDS,Santa Rosa Plain,56.83574050366667
"VINO FARMS, INC. - PRESTON RANCH",Santa Rosa Plain,9.923666607847144
KELLY MUTUAL WATER COMPANY,Santa Rosa Plain,11.515221020270001
J VINEYARDS & WINERY,Santa Rosa Plain,9.902698343853334
STONEGATE MOBILE HOME PARK,Santa Rosa Plain,21.910951740935715
